Firstname	nconst	tconst	rating	imdbid	id	title	year	directors	writers	averageRating	numVotes	titleType	primaryTitle	originalTitle	isAdult	startYear	endYear	runtimeMinutes	genres	Lastname	birthYear	deathYear	primaryProfession	knownForTitles	name	proportion_male	proportion_female	gender	year_min	year_max
Adam	nm0111845	tt0832266	3	0832266	545	Definitely, Maybe	2008	nm0111845	nm0111845	7.2	137717	movie	Definitely, Maybe	Definitely, Maybe	0	2008	\N	112	Comedy,Drama,Romance	Brooks	1956	\N	writer,producer,director	tt0317198,tt0832266,tt0113117,tt0120791	Adam	0.9954	0.0046	male	1880	1992
Adam	nm0788202	tt0427327	3	0427327	188	Hairspray	2007	nm0788202	nm0228908,nm0000691,nm1764916,nm0576070	6.7	106241	movie	Hairspray	Hairspray	0	2007	\N	117	Comedy,Drama,Family	Shankman	1964	\N	producer,miscellaneous,director	tt0281358,tt0960731,tt0427327,tt1336608	Adam	0.9954	0.0046	male	1880	1992
Adam	nm0570912	tt1229340	3	1229340	5309	Anchorman 2: The Legend Continues	2013	nm0570912	nm0002071,nm0570912	6.3	145138	movie	Anchorman 2: The Legend Continues	Anchorman 2: The Legend Continues	0	2013	\N	119	Comedy	McKay	1968	\N	producer,writer,director	tt0478970,tt1386588,tt1596363,tt0415306	Adam	0.9954	0.0046	male	1880	1992
Adam	nm0570912	tt0357413	3	0357413	352	Anchorman: The Legend of Ron Burgundy	2004	nm0570912	nm0002071,nm0570912	7.2	290954	movie	Anchorman: The Legend of Ron Burgundy	Anchorman: The Legend of Ron Burgundy	0	2004	\N	94	Comedy	McKay	1968	\N	producer,writer,director	tt0478970,tt1386588,tt1596363,tt0415306	Adam	0.9954	0.0046	male	1880	1992
Adam	nm0788202	tt0960731	3	0960731	310	Bedtime Stories	2008	nm0788202	nm2188941,nm0379056	6.1	77847	movie	Bedtime Stories	Bedtime Stories	0	2008	\N	99	Comedy,Family,Fantasy	Shankman	1964	\N	producer,miscellaneous,director	tt0281358,tt0960731,tt0427327,tt1336608	Adam	0.9954	0.0046	male	1880	1992
Adam	nm0570912	tt0838283	1	0838283	260	Step Brothers	2008	nm0570912	nm0002071,nm0570912,nm0000604	6.9	231316	movie	Step Brothers	Step Brothers	0	2008	\N	98	Comedy	McKay	1968	\N	producer,writer,director	tt0478970,tt1386588,tt1596363,tt0415306	Adam	0.9954	0.0046	male	1880	1992
Adam	nm0254178	tt0978762	1	0978762	2669	Mary and Max	2009	nm0254178	nm0254178	8.1	136365	movie	Mary and Max	Mary and Max	0	2009	\N	92	Animation,Comedy,Drama	Elliot	1972	\N	director,writer,animation_department	tt0245024,tt0382734,tt0978762,tt0288275	Adam	0.9954	0.0046	male	1880	1992
Adam	nm0939517	tt1610301	3	1610301	5231	Barbie in a Mermaid Tale	2010	nm0939517	nm0020489	6.2	1374	video	Barbie in a Mermaid Tale	Barbie in a Mermaid Tale	0	2010	\N	75	Animation,Family,Fantasy	Wood	NA	\N	animation_department,director,miscellaneous	tt0382932,tt1049413,tt0198781,tt0266543	Adam	0.9954	0.0046	male	1880	1992
Adam	nm0788202	tt0281358	3	0281358	5254	A Walk to Remember	2002	nm0788202	nm0817023,nm0418321	7.4	177842	movie	A Walk to Remember	A Walk to Remember	0	2002	\N	101	Drama,Romance	Shankman	1964	\N	producer,miscellaneous,director	tt0281358,tt0960731,tt0427327,tt1336608	Adam	0.9954	0.0046	male	1880	1992
Adam	nm2040169	tt4009278	3	4009278	7881	Intruders	2015	nm2040169	nm4620383,nm5020816	5.7	8877	movie	Intruders	Shut In	0	2015	\N	90	Drama,Horror,Thriller	Schindler	NA	\N	miscellaneous,writer,director	tt4009278,tt5754062,tt1957886	Adam	0.9954	0.0046	male	1880	1992
Adam	nm0570912	tt1386588	0	1386588	1448	Other Guys, The	2010	nm0570912	nm0570912,nm0376260	6.7	207703	movie	The Other Guys	The Other Guys	0	2010	\N	107	Action,Comedy,Crime	McKay	1968	\N	producer,writer,director	tt0478970,tt1386588,tt1596363,tt0415306	Adam	0.9954	0.0046	male	1880	1992
Adam	nm0002835	tt0110169	3	0110169	4421	It&#39;s Pat	1994	nm0002835	nm0842140,nm0256219,nm0382512	2.6	8924	movie	It's Pat: The Movie	It's Pat: The Movie	0	1994	\N	77	Comedy	Bernstein	1960	\N	director,producer,writer	tt0903747,tt0904208,tt0110169,tt0127288	Adam	0.9954	0.0046	male	1880	1992
Adam	nm0570912	tt1596363	1	1596363	6648	Big Short, The	2015	nm0570912	nm1017488,nm0570912,nm1034122	7.8	273307	movie	The Big Short	The Big Short	0	2015	\N	130	Biography,Comedy,Drama	McKay	1968	\N	producer,writer,director	tt0478970,tt1386588,tt1596363,tt0415306	Adam	0.9954	0.0046	male	1880	1992
Adam	nm0788202	tt0209475	3	0209475	1204	Wedding Planner, The	2001	nm0788202	nm0266184,nm0963400	5.3	66953	movie	The Wedding Planner	The Wedding Planner	0	2001	\N	103	Comedy,Romance	Shankman	1964	\N	producer,miscellaneous,director	tt0281358,tt0960731,tt0427327,tt1336608	Adam	0.9954	0.0046	male	1880	1992
Adam	nm1417392	tt1241317	0	1241317	7794	Death Note	2017	nm1417392	nm0663048,nm0663050,nm2916300,nm2174097,nm1761126	4.6	54190	movie	Death Note	Death Note	0	2017	\N	101	Adventure,Crime,Drama	Wingard	1982	\N	director,editor,cinematographer	tt2980592,tt2105044,tt1853739,tt2450186	Adam	0.9954	0.0046	male	1880	1992
Adam	nm0788202	tt1336608	3	1336608	3355	Rock of Ages	2012	nm0788202	nm0857620,nm0195476,nm1615610	5.9	66362	movie	Rock of Ages	Rock of Ages	0	2012	\N	123	Comedy,Drama,Musical	Shankman	1964	\N	producer,miscellaneous,director	tt0281358,tt0960731,tt0427327,tt1336608	Adam	0.9954	0.0046	male	1880	1992
Adam	nm0733263	tt3387648	3	3387648	6527	Taking of Deborah Logan, The	2014	nm0733263	nm0733263,nm1134130	6	19427	movie	The Taking of Deborah Logan	The Taking	0	2014	\N	90	Horror,Mystery,Thriller	Robitel	1978	\N	actor,writer,editor	tt2473510,tt5726086,tt3387648	Adam	0.9954	0.0046	male	1880	1992
Adam	nm0788202	tt0395699	3	0395699	6503	Pacifier, The	2005	nm0788202	nm0502073,nm0304830	5.6	74414	movie	The Pacifier	The Pacifier	0	2005	\N	95	Action,Comedy,Drama	Shankman	1964	\N	producer,miscellaneous,director	tt0281358,tt0960731,tt0427327,tt1336608	Adam	0.9954	0.0046	male	1880	1992
Adam	nm0170901	tt0129023	1	0129023	2912	Dark Harbor	1998	nm0170901	nm0170901,nm1571740,nm0493699	6.2	2121	movie	Dark Harbor	Dark Harbor	0	1998	\N	96	Drama,Thriller	Coleman	NA	\N	actor,director,writer	tt0116046,tt0102543,tt0091815,tt0129023	Adam	0.9954	0.0046	male	1880	1992
Aditya	nm0159147	tt0112870	3	0112870	5728	Dilwale Dulhania Le Jayenge	1995	nm0159147	nm0159147,nm0796503	8.2	52684	movie	Dilwale Dulhania Le Jayenge	Dilwale Dulhania Le Jayenge	0	1995	\N	189	Comedy,Drama,Musical	Chopra	1971	\N	producer,writer,director	tt1182937,tt0420332,tt0213890,tt0112870	Aditya	1	0	male	1880	1992
Adrian	nm0001490	tt0093010	3	0093010	4737	Fatal Attraction	1987	nm0001490	nm0213139	6.9	61755	movie	Fatal Attraction	Fatal Attraction	0	1987	\N	119	Drama,Thriller	Lyne	1941	\N	director,writer,producer	tt0093010,tt0085549,tt0099871,tt0250797	Adrian	0.8827	0.1173	male	1880	1992
Adrian	nm0001490	tt0107211	0	0107211	7642	Indecent Proposal	1993	nm0001490	nm0257209,nm0427468	5.8	52737	movie	Indecent Proposal	Indecent Proposal	0	1993	\N	117	Drama,Romance	Lyne	1941	\N	director,writer,producer	tt0093010,tt0085549,tt0099871,tt0250797	Adrian	0.8827	0.1173	male	1880	1992
Adrian	nm0001490	tt0099871	1	0099871	5688	Jacob&#39;s Ladder	1990	nm0001490	nm0748022	7.5	83619	movie	Jacob's Ladder	Jacob's Ladder	0	1990	\N	113	Drama,Horror,Mystery	Lyne	1941	\N	director,writer,producer	tt0093010,tt0085549,tt0099871,tt0250797	Adrian	0.8827	0.1173	male	1880	1992
Adrian	nm0001490	tt0085549	3	0085549	3972	Flashdance	1983	nm0001490	nm0373320,nm0000390	6.1	39571	movie	Flashdance	Flashdance	0	1983	\N	95	Drama,Music,Romance	Lyne	1941	\N	director,writer,producer	tt0093010,tt0085549,tt0099871,tt0250797	Adrian	0.8827	0.1173	male	1880	1992
Adrian	nm0001490	tt0250797	3	0250797	6971	Unfaithful	2002	nm0001490	nm0001031,nm0765091,nm0115310	6.7	69077	movie	Unfaithful	Unfaithful	0	2002	\N	124	Drama,Thriller	Lyne	1941	\N	director,writer,producer	tt0093010,tt0085549,tt0099871,tt0250797	Adrian	0.8827	0.1173	male	1880	1992
Adrienne	nm0791248	tt0473308	3	0473308	755	Waitress	2007	nm0791248	nm0791248	7	39663	movie	Waitress	Waitress	0	2007	\N	108	Comedy,Drama,Romance	Shelly	1966	2006	actress,writer,director	tt0100842,tt0473308,tt0417658,tt0103130	Adrienne	0.0046	0.9954	female	1880	1992
Agnieszka	nm1033683	tt0838247	1	0838247	6311	After.Life	2009	nm1033683	nm1033683,nm1037586,nm3216543	5.9	33043	movie	After.Life	After.Life	0	2009	\N	104	Drama,Horror,Mystery	Wojtowicz-Vosloo	NA	\N	director,writer,producer	tt0289755,tt0838247	Agnieszka	0	1	female	1880	1992
Agnieszka	nm0002140	tt0099776	2	0099776	5347	Europa Europa	1990	nm0002140	nm0376992,nm0002140,nm0673251	7.6	12887	movie	Europa Europa	Europa Europa	0	1990	\N	112	Drama,History,War	Holland	1948	\N	director,writer,actress	tt0246719,tt1417075,tt5328350,tt0099776	Agnieszka	0	1	female	1880	1992
Agnieszka	nm0002140	tt0108071	3	0108071	1434	Secret Garden, The	1993	nm0002140	nm0122364,nm0003031	7.3	31525	movie	The Secret Garden	The Secret Garden	0	1993	\N	101	Drama,Family,Fantasy	Holland	1948	\N	director,writer,actress	tt0246719,tt1417075,tt5328350,tt0099776	Agnieszka	0	1	female	1880	1992
Aisling	nm0909532	tt0423651	3	0423651	2603	Fingersmith	2005	nm0909532	nm0710383,nm1258797	8	6919	tvMiniSeries	Fingersmith	Fingersmith	0	2005	\N	181	Crime,Drama,Romance	Walsh	NA	\N	director,writer	tt3721954,tt0339707,tt4271918,tt1591524	Aisling	0	1	female	1880	1992
Aki	nm0442454	tt0097728	0	0097728	4646	Leningrad Cowboys Go America	1989	nm0442454	nm0433520,nm0442454,nm0885417	7	5720	movie	Leningrad Cowboys Go America	Leningrad Cowboys Go America	0	1989	\N	78	Comedy,Music	Kaurismäki	1957	\N	producer,writer,director	tt0311519,tt0099818,tt0097728,tt1508675	Aki	0.5081	0.4919	male	1880	1992
Aki	nm0442454	tt0098532	3	0098532	5333	Match Factory Girl, The	1990	nm0442454	nm0442454	7.6	7115	movie	The Match Factory Girl	Tulitikkutehtaan tyttö	0	1990	\N	68	Comedy,Drama	Kaurismäki	1957	\N	producer,writer,director	tt0311519,tt0099818,tt0097728,tt1508675	Aki	0.5081	0.4919	male	1880	1992
Aki	nm0442454	tt0099818	0	0099818	4080	I Hired a Contract Killer	1990	nm0442454	nm0442454,nm0901911	7.3	4582	movie	I Hired a Contract Killer	I Hired a Contract Killer	0	1990	\N	79	Comedy,Drama,Romance	Kaurismäki	1957	\N	producer,writer,director	tt0311519,tt0099818,tt0097728,tt1508675	Aki	0.5081	0.4919	male	1880	1992
Aki	nm0442454	tt0158692	0	0158692	6238	Juha	1999	nm0442454	nm0014251,nm0442454	7	2047	movie	Juha	Juha	0	1999	\N	78	Comedy,Drama,Romance	Kaurismäki	1957	\N	producer,writer,director	tt0311519,tt0099818,tt0097728,tt1508675	Aki	0.5081	0.4919	male	1880	1992
Akira	nm0000041	tt0050613	0	0050613	7165	Throne of Blood	1957	nm0000041	nm0644823,nm0368074,nm0452878,nm0000041,nm0000636	8.1	35988	movie	Throne of Blood	Kumonosu-jô	0	1957	\N	110	Drama	Kurosawa	1910	1998	writer,director,assistant_director	tt0042876,tt0047478,tt0089881,tt0055630	Akira	0.6363	0.3637	male	1880	1992
Akira	nm0000041	tt0044741	1	0044741	7162	Ikiru	1952	nm0000041	nm0000041,nm0368074,nm0644823	8.3	49197	movie	Ikiru	Ikiru	0	1952	\N	143	Drama	Kurosawa	1910	1998	writer,director,assistant_director	tt0042876,tt0047478,tt0089881,tt0055630	Akira	0.6363	0.3637	male	1880	1992
Akira	nm0000041	tt0042876	0	0042876	1402	Rashomon	1950	nm0000041	nm0015611,nm0000041,nm0368074	8.3	117908	movie	Rashomon	Rashômon	0	1950	\N	88	Crime,Drama,Mystery	Kurosawa	1910	1998	writer,director,assistant_director	tt0042876,tt0047478,tt0089881,tt0055630	Akira	0.6363	0.3637	male	1880	1992
Akira	nm0000041	tt0036400	0	0036400	4699	Judo Saga (Sanshiro Sugata)	1943	nm0000041	nm0000041,nm0866744	6.8	3428	movie	Sanshiro Sugata	Sugata Sanshirô	0	1943	\N	79	Action,Adventure,Drama	Kurosawa	1910	1998	writer,director,assistant_director	tt0042876,tt0047478,tt0089881,tt0055630	Akira	0.6363	0.3637	male	1880	1992
Akira	nm0000041	tt0047478	0	0047478	3600	Shichinin no samurai	1954	nm0000041	nm0000041,nm0368074,nm0644823	8.7	256907	movie	Seven Samurai	Shichinin no samurai	0	1954	\N	207	Adventure,Drama	Kurosawa	1910	1998	writer,director,assistant_director	tt0042876,tt0047478,tt0089881,tt0055630	Akira	0.6363	0.3637	male	1880	1992
Akira	nm0000041	tt0089881	1	0089881	2352	Ran	1985	nm0000041	nm0000041,nm0644823,nm0406836,nm0000636	8.2	87807	movie	Ran	Ran	0	1985	\N	162	Action,Drama	Kurosawa	1910	1998	writer,director,assistant_director	tt0042876,tt0047478,tt0089881,tt0055630	Akira	0.6363	0.3637	male	1880	1992
Akira	nm0000041	tt0051808	0	0051808	7135	Hidden Fortress, The	1958	nm0000041	nm0452878,nm0644823,nm0368074,nm0000041	8.1	26911	movie	The Hidden Fortress	Kakushi-toride no san-akunin	0	1958	\N	139	Adventure,Drama	Kurosawa	1910	1998	writer,director,assistant_director	tt0042876,tt0047478,tt0089881,tt0055630	Akira	0.6363	0.3637	male	1880	1992
Akira	nm0000041	tt0055630	1	0055630	660	Yojimbo	1961	nm0000041	nm0000041,nm0452878	8.3	84526	movie	Yojimbo	Yôjinbô	0	1961	\N	110	Action,Drama,Thriller	Kurosawa	1910	1998	writer,director,assistant_director	tt0042876,tt0047478,tt0089881,tt0055630	Akira	0.6363	0.3637	male	1880	1992
Akira	nm0000041	tt0071411	0	0071411	1807	Dersu Uzala	1975	nm0000041	nm0000041,nm0619330,nm0037539	8.3	19643	movie	Dersu Uzala	Dersu Uzala	0	1975	\N	142	Adventure,Biography,Drama	Kurosawa	1910	1998	writer,director,assistant_director	tt0042876,tt0047478,tt0089881,tt0055630	Akira	0.6363	0.3637	male	1880	1992
Akira	nm0000041	tt0036947	3	0036947	4698	Most Beautiful (Ichiban utsukushiku), The	1944	nm0000041	nm0000041	5.8	1291	movie	Ichiban utsukushiku	Ichiban utsukushiku	0	1944	\N	85	Drama	Kurosawa	1910	1998	writer,director,assistant_director	tt0042876,tt0047478,tt0089881,tt0055630	Akira	0.6363	0.3637	male	1880	1992
Akira	nm0000041	tt0101991	3	0101991	7172	Hachi-gatsu no rapusodi	1991	nm0000041	nm0613594,nm0000041,nm0393094	7.3	5284	movie	Rhapsody in August	Hachi-gatsu no rapusodî	0	1991	\N	98	Drama	Kurosawa	1910	1998	writer,director,assistant_director	tt0042876,tt0047478,tt0089881,tt0055630	Akira	0.6363	0.3637	male	1880	1992
Akira	nm0000041	tt0043614	3	0043614	7157	Idiot, The	1951	nm0000041	nm0234502,nm0386750,nm0000041	7.4	3689	movie	The Idiot	Hakuchi	0	1951	\N	166	Drama,Romance	Kurosawa	1910	1998	writer,director,assistant_director	tt0042876,tt0047478,tt0089881,tt0055630	Akira	0.6363	0.3637	male	1880	1992
Akira	nm0000041	tt0065649	3	0065649	7169	Dodes&#39;ka-den	1970	nm0000041	nm0000041,nm0644823,nm0368074,nm0945491	7.5	5010	movie	Dodes'ka-den	Dodesukaden	0	1970	\N	140	Drama	Kurosawa	1910	1998	writer,director,assistant_director	tt0042876,tt0047478,tt0089881,tt0055630	Akira	0.6363	0.3637	male	1880	1992
Akira	nm0000041	tt0042958	3	0042958	7144	Scandal	1950	nm0000041	nm0452878,nm0000041	7.3	2693	movie	Scandal	Shûbun	0	1950	\N	104	Drama	Kurosawa	1910	1998	writer,director,assistant_director	tt0042876,tt0047478,tt0089881,tt0055630	Akira	0.6363	0.3637	male	1880	1992
Akira	nm0000041	tt0056443	3	0056443	6044	Sanjuro	1963	nm0000041	nm0452878,nm0644823,nm0000041,nm0945491	8.2	23241	movie	Sanjuro	Tsubaki Sanjûrô	0	1962	\N	96	Action,Crime,Drama	Kurosawa	1910	1998	writer,director,assistant_director	tt0042876,tt0047478,tt0089881,tt0055630	Akira	0.6363	0.3637	male	1880	1992
Akiva	nm1676223	tt0787475	1	0787475	419	Hot Rod	2007	nm1676223	nm0103702	6.7	65627	movie	Hot Rod	Hot Rod	0	2007	\N	88	Comedy	Schaffer	1977	\N	writer,director,soundtrack	tt1298649,tt0072562,tt3960412,tt0787475	Akiva	0.9797	0.0203	male	1880	1992
Akiva	nm0326040	tt1837709	3	1837709	5220	Winter&#39;s Tale	2014	nm0326040	nm0326040,nm4311444	6.2	46116	movie	Winter's Tale	Winter's Tale	0	2014	\N	118	Drama,Fantasy,Mystery	Goldsman	1962	\N	producer,writer,director	tt0118688,tt0352248,tt0268978,tt1119644	Akiva	0.9797	0.0203	male	1880	1992
Alain	nm0006734	tt0318725	3	0318725	5422	Stupeur et Tremblements	2003	nm0006734	nm0636569,nm0006734	7.1	3815	movie	Fear and Trembling	Stupeur et tremblements	0	2003	\N	107	Comedy,Drama	Corneau	1943	2010	writer,director,assistant_director	tt0087284,tt0103110,tt0795370,tt0318725	Alain	0.997	0.003	male	1880	1992
Alain	nm0149260	tt0250223	3	0250223	6590	Asterix &amp; Obelix: Mission Cleopatra (Ast&eacute;rix et Ob&eacute;lix: Mission Cl&eacute;op&acirc;tre)	2002	nm0149260	nm0331453,nm0879853,nm0149260	6.6	41540	movie	Asterix and Obelix Meet Cleopatra	Astérix & Obélix: Mission Cléopâtre	0	2002	\N	107	Adventure,Comedy,Family	Chabat	1958	\N	actor,producer,writer	tt0118976,tt0354899,tt0250223,tt1078912	Alain	0.997	0.003	male	1880	1992
Alain	nm0073322	tt0109440	3	0109440	2972	Fear City: A Family-Style Comedy	1994	nm0073322	nm0149260,nm0268543,nm0490702	7.7	6601	movie	Le Film de les Nuls	La cité de la peur	0	1994	\N	93	Comedy	Berbérian	1953	2017	director,writer	tt0109440,tt0380349,tt0283957,tt0133314	Alain	0.997	0.003	male	1880	1992
Alain	nm0327120	tt5980798	3	5980798	7841	Felicite	2017	nm0327120	nm0327120,nm0522151,nm0956969	6.5	460	movie	Félicité	Félicité	0	2017	\N	129	Drama,Music	Gomis	NA	\N	director,writer,producer	tt5980798,tt0488000,tt2178935,tt0292895	Alain	0.997	0.003	male	1880	1992
Alain	nm0720297	tt2751390	2	2751390	5689	Life Of Riley	2014	nm0720297	nm0043697,nm0004124,nm0720297,nm0078811	6	1031	movie	Life of Riley	Aimer, boire et chanter	0	2014	\N	108	Comedy,Drama,Romance	Resnais	1922	2014	director,editor,writer	tt0081176,tt0052893,tt0054632,tt0048434	Alain	0.997	0.003	male	1880	1992
Alain	nm0075626	tt0119590	3	0119590	4216	My Life in Pink ( Ma Vie En Rose )	1997	nm0075626	nm0075626,nm0888720	7.6	7872	movie	Ma Vie en Rose	Ma vie en rose	0	1997	\N	88	Drama	Berliner	1963	\N	director,writer,producer	tt0160644,tt0119590,tt0190874,tt0354720	Alain	0.997	0.003	male	1880	1992
Alain	nm0146760	tt3971202	0	3971202	5848	Le Paradis	2014	nm0146760	nm0146760	6.4	98	movie	Paradise	Le paradis	0	2014	\N	68	\N	Cavalier	1931	\N	writer,director,cinematographer	tt0176999,tt0092090,tt0463991,tt1426368	Alain	0.997	0.003	male	1880	1992
Alan	nm0000614	tt0120521	3	0120521	1409	Winter Guest, The	1997	nm0000614	nm0531930,nm0000614	7.1	3026	movie	The Winter Guest	The Winter Guest	0	1997	\N	108	Drama	Rickman	1946	2016	actor,soundtrack,writer	tt0102798,tt0177789,tt0095016,tt1201607	Alan	0.997	0.003	male	1880	1992
Alan	nm0000570	tt0084503	0	0084503	6068	Pink Floyd The Wall	1982	nm0000570	nm0914166	8	65725	movie	Pink Floyd: The Wall	Pink Floyd: The Wall	0	1982	\N	95	Animation,Drama,Fantasy	Parker	1944	\N	director,writer,soundtrack	tt0095647,tt0092563,tt0116250,tt0289992	Alan	0.997	0.003	male	1880	1992
Alan	nm0000570	tt0080716	3	0080716	360	Fame	1980	nm0000570	nm0330731	6.6	17693	movie	Fame	Fame	0	1980	\N	134	Drama,Music,Musical	Parker	1944	\N	director,writer,soundtrack	tt0095647,tt0092563,tt0116250,tt0289992	Alan	0.997	0.003	male	1880	1992
Alan	nm0000570	tt0092563	1	0092563	2471	Angel Heart	1987	nm0000570	nm0387132,nm0000570	7.3	68655	movie	Angel Heart	Angel Heart	0	1987	\N	113	Horror,Mystery,Thriller	Parker	1944	\N	director,writer,soundtrack	tt0095647,tt0092563,tt0116250,tt0289992	Alan	0.997	0.003	male	1880	1992
Alan	nm0851930	tt1340138	0	1340138	6340	Terminator Genisys	2015	nm0851930	nm0436164,nm0527261,nm0000116,nm0005036	6.5	217616	movie	Terminator Genisys	Terminator Genisys	0	2015	\N	126	Action,Adventure,Sci-Fi	Taylor	NA	\N	director,producer,writer	tt0944947,tt1981115,tt0117284,tt1340138	Alan	0.997	0.003	male	1880	1992
Alan	nm0582635	tt0089208	3	0089208	752	Girls Just Want to Have Fun	1985	nm0582635	nm0818650	6	8493	movie	Girls Just Want to Have Fun	Girls Just Want to Have Fun	0	1985	\N	90	Comedy,Music,Romance	Metter	1933	\N	director,writer,producer	tt0090685,tt0478712,tt0110857,tt0089208	Alan	0.997	0.003	male	1880	1992
Alan	nm0000614	tt2639254	3	2639254	6271	A Little Chaos	2015	nm0000614	nm0110591,nm0214255,nm0000614	6.5	15951	movie	A Little Chaos	A Little Chaos	0	2014	\N	112	Drama,Romance	Rickman	1946	2016	actor,soundtrack,writer	tt0102798,tt0177789,tt0095016,tt1201607	Alan	0.997	0.003	male	1880	1992
Alan	nm0189076	tt0018037	1	0018037	5975	Jazz Singer, The	1927	nm0189076	nm0710723,nm0169879,nm0418772	6.8	7613	movie	The Jazz Singer	The Jazz Singer	0	1927	\N	88	Drama,Music,Musical	Crosland	1894	1936	director,writer,producer	tt0016804,tt0017667,tt0024958,tt0018037	Alan	0.997	0.003	male	1880	1992
Alan	nm0001587	tt0084707	3	0084707	1003	Sophie&#39;s Choice	1982	nm0001587	nm0836612,nm0001587	7.7	33158	movie	Sophie's Choice	Sophie's Choice	0	1982	\N	150	Drama,Romance	J.	1928	1998	producer,director,writer	tt0107798,tt0100404,tt0074119,tt0084707	Alan	0.997	0.003	male	1880	1992
Alan	nm0000570	tt0116250	3	0116250	7630	Evita	1996	nm0000570	nm0005358,nm0000570,nm0000231	6.3	30832	movie	Evita	Evita	0	1996	\N	135	Biography,Drama,History	Parker	1944	\N	director,writer,soundtrack	tt0095647,tt0092563,tt0116250,tt0289992	Alan	0.997	0.003	male	1880	1992
